pnn,FS Lin,SS Lin,FL1 Log,FL2 Log,FL3 Log,FL4 Log,FL5 Log,FS,SS,FL1,FL2,FL3,FL4,FL5,TIME
pns,FS Lin,SS Lin,FL1 Log,FL2 Log,FL3 Log,FL4 Log,FL5 Log,,,,,,,,
98,46.8,20.55,2.300713054016148,0.9529057699120118,0.8947592702491824,0.6770370828712772,0.30957701376212127,239904.0,421792.0,2379.0,1354.0,1079.0,1028.0,319.0,1.0
99,47.6,8.35,0.565571421932247,0.16494198114485398,0.12937860276781757,0.2609455869930851,0.1024,244384.0,171040.0,585.0,173.0,104.0,164.0,39.0,1.0
100,57.4,8.65,0.4986547457698438,0.1024,0.1402874130141752,0.3013352628438305,0.1024,293920.0,177568.0,511.0,74.0,113.0,213.0,87.0,1.0
101,35.0,4.95,0.137786353469435,0.1024,0.12480657252785048,0.20103362629533755,0.14542655177583327,179968.0,101792.0,140.0,0.0,73.0,100.0,150.0,1.0
102,90.0,25.8,0.2959630243862989,0.19568158463697313,0.21995366692014168,0.21218086063659222,0.1024,461504.0,529152.0,304.0,183.0,190.0,165.0,19.0,1.0
103,51.2,5.8,0.1024,0.1024,0.14412438152599996,0.20839807674098557,0.1024,262304.0,118816.0,99.0,0.0,95.0,119.0,98.0,1.0
104,98.0,11.45,1.024,0.22394620467296977,0.15487718863980784,0.22394620467296977,0.20653205040438585,502336.0,234592.0,1057.0,301.0,130.0,141.0,213.0,1.0
105,52.0,5.4,0.8477517728031213,0.1921929516622048,0.1725291396542299,0.26330324207274547,0.17724794415708725,266656.0,111584.0,875.0,247.0,152.0,192.0,182.0,1.0
106,50.8,4.9,0.11203725420310383,0.1024,0.1024,0.27541491564288445,0.11407092326346777,260768.0,100992.0,114.0,0.0,35.0,147.0,117.0,1.0
107,64.6,11.55,1.8209581158798571,0.20653205040438585,0.2656821986717712,0.21218086063659222,0.1024,331488.0,237376.0,1886.0,412.0,240.0,191.0,22.0,1.0
108,36.8,2.3,0.5810402347823543,0.15487718863980784,0.12148389468675426,0.24947021805073416,0.11931806635041005,188448.0,47552.0,599.0,163.0,92.0,148.0,123.0,1.0
